clan_tag,clan_name,clan_type,clan_description,clan_location,isFamilyFriendly,clan_badge_url,clan_level,clan_points,clan_builder_base_points,clan_versus_points,required_trophies,war_frequency,war_win_streak,war_wins,war_ties,war_losses,clan_war_league,num_members,required_builder_base_trophies,required_versus_trophies,required_townhall_level,clan_capital_hall_level,clan_capital_points,capital_league,mean_member_level,mean_member_trophies
#2YGU0UJ0G,Lkapo,closed,سلام,International,True,https://api-assets.clashofclans.com/badges/200/yrLD7EB5fcust-ReYMqlre3w75IrfoUv7eLQxgMS4bs.png,1,135,25,25,0,unknown,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,10,271
#VJGL8P9L,Jamaica`s Way,inviteOnly,,International,True,https://api-assets.clashofclans.com/badges/200/Sj-xRufxYBYkhRO_Rb1pxLxxkdSkoArCOhbAINmMGgg.png,1,2198,3080,3080,1500,always,1,1,0,0,Unranked,6,1500,1500,1,0,0,Unranked,56,733
#2Y0R08PLL,Raxus 2.0,open,"REGLAS: HACER SUS DOS ATAQUES EN GUERRA, REALIZAR LOS ATAQUES EN LIGA, SER DONADORES Y REALIZAR POR LO MENOS 3500 PTOS EN LOS JUEGOS DEL CLAN Y RESPETO ENTRE COMPAÑEROS Th 9 - 10 - 11 entran a liga",Chile,True,https://api-assets.clashofclans.com/badges/200/xpwogFoCu_VQg8Qb5WWUL-MiCT4B5v13p0VfvJRI8H4.png,4,414,0,0,1000,always,0,15,0,6,Gold League II,1,600,600,9,0,0,Unranked,40,828
#JCPRVYPQ,os inrelevantes,open,"respeitar os menbros, promoções aparti das doações,doar somente oq for pedido , quando estiver grande vai ter grupo no whtas",Brazil,True,https://api-assets.clashofclans.com/badges/200/A50Oltr-nPzdzQ726kkRxq8ezVgAIJbzNdfajLcWctI.png,1,537,248,248,200,moreThanOncePerWeek,0,0,0,0,Unranked,3,0,0,1,0,0,Unranked,12,358
#LUQL9UGQ,Pit Bul,inviteOnly,AMIGO,,True,https://api-assets.clashofclans.com/badges/200/L6nO5hW_eyhp4MoQxdBPi_TJGcHmYnPeZMeVYkBspcI.png,1,659,251,251,0,always,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,77,1319
#8U9QVL9R,PNOY CIVIL ENGR,open,SOON,Philippines,True,https://api-assets.clashofclans.com/badges/200/9hjCnfsQVy8LIWGiYGDbM-a3ZYCkOavxO4A4hqU8UJM.png,10,1155,1490,1490,0,unknown,0,164,0,0,Gold League II,1,0,0,1,2,0,Unranked,165,2310
#2288YRQQJ,RVSS,open,young ***** rich,Italy,True,https://api-assets.clashofclans.com/badges/200/r5olRzueshpd0ZV7iU6BJLCzatRVqy0eXUOFa4052Lo.png,2,3166,3298,3298,0,moreThanOncePerWeek,0,3,0,2,Silver League III,10,0,0,1,1,0,Unranked,38,633
#2L9Q2GJVL,KYRGYZ ARMY,open,"Добро пожаловать, мыт тебе рады!",,True,https://api-assets.clashofclans.com/badges/200/AxHNb_bmvKF1CvqbX5e1WAtaChaDCcCOv26BWT4H1nE.png,1,326,0,0,0,unknown,0,0,0,0,Unranked,2,0,0,1,0,0,Unranked,13,327
#JPCQ922U,SSM,open,,International,True,https://api-assets.clashofclans.com/badges/200/pzgOJn5dm3h4Mc2Nm45mCwxd1gqo6Ia20N2hAK1xrbw.png,2,1278,368,368,200,always,0,3,0,6,Unranked,3,0,0,1,0,0,Unranked,38,852
#29RYLYLG2,SIA,inviteOnly,join for war,,True,https://api-assets.clashofclans.com/badges/200/CG0BRI4Rpiql-EDrHXJuwlju-Dd_Irdtfq_VRt8duiw.png,1,302,259,259,1000,always,0,0,0,1,Unranked,1,0,0,1,0,0,Unranked,18,605
#2QJUQ2VCY,3-26,inviteOnly,,Canada,True,https://api-assets.clashofclans.com/badges/200/Ii5pvlX9rY0rxc_y2C443SIKTct740T7S7ZA4xDwqn8.png,2,2735,2587,2587,0,unknown,5,5,0,0,Unranked,5,0,0,1,2,0,Unranked,62,1094
#882LYPC0,Koa,inviteOnly,"Hogs are like spandex, they are a priviledge, not a right.....so no crying when you dont get them everytime...and no talking",,True,https://api-assets.clashofclans.com/badges/200/pLeMRrgUDyZXDkBTctUnjin2QnZuXWN2qBWQn1uWN_o.png,1,518,57,57,600,unknown,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,81,1037
#22VL22VPV,pegugajo,open,1:mala conducta se*****nalizada                                 2:donar lo que se pide                      3:colider despues de,Mexico,True,https://api-assets.clashofclans.com/badges/200/T1UcKCi8kJnIefrH2CI2BTpQOc035hLah92FVie9HH0.png,1,125,0,0,0,moreThanOncePerWeek,0,0,0,0,Unranked,2,0,0,1,0,0,Unranked,6,125
#9RP2CLR8,"""Darah Muda""",inviteOnly,berdiri teguh bersama..1000 donate dpat elder..co leader leader yg pilih..tak serang war 2 kali akn di kick..donate ape yg diminta..clan nie ad law..xley ikot kau bole go..kerjasama amat diperlukan..sme2 kita majukn clan nie..cayok cayok,Malaysia,True,https://api-assets.clashofclans.com/badges/200/jqabKPbWd6n4m2YWixgbHtNXRiwK3CrIagCzloAo_Z4.png,5,955,842,842,0,always,2,48,0,53,Unranked,1,0,0,1,0,0,Unranked,97,1910
#VLPJQ2LP,I AM BAK COC,open,ANE TAIM ONLINE,India,True,https://api-assets.clashofclans.com/badges/200/APv1yDUPAZ-A-xDlE_WMhM_PDkm9FFAVCLBnRdHR1Nc.png,2,661,509,509,800,always,0,6,0,5,Unranked,2,800,800,1,0,0,Unranked,23,661
#C22C9UR0,wat best,inviteOnly,do your best while you stay in the clan or will be kicked out of the clan dont use abusive words use your both attacks in clan wars you will recieve promotion according to perfomance,International,True,https://api-assets.clashofclans.com/badges/200/ZVv653CzXMnlObUmgcD4vuFvsF2mYcr_bh1y-w6P0ds.png,1,394,25,25,800,always,0,0,0,4,Unranked,1,0,0,1,0,0,Unranked,23,788
#GUJ0RYPY,NAK K3NDARI,open,"wajib war 2 kali kekompakan dalam sata clan lau ad,yg red baru pemimpin tdk aktif yg aktif silakan isi,,",Indonesia,True,https://api-assets.clashofclans.com/badges/200/xRW1oQsDdc_crhAxGdSW3zg8fCfLmwonpuIUBPF9tXc.png,6,2098,2215,2215,0,always,0,56,0,58,Unranked,5,0,0,1,0,0,Unranked,53,839
#28QCJ828Y,les roi,open,,,True,https://api-assets.clashofclans.com/badges/200/v-1Rn-8cGCb1xEIn191j1bx6A9fm-A90HP6OyV7TKNc.png,1,634,866,866,0,unknown,0,0,0,0,Unranked,2,0,0,1,0,0,Unranked,23,634
#22CRR9YQV,CS.GO 1,inviteOnly,кто любет кс заходи ждём!!!,International,True,https://api-assets.clashofclans.com/badges/200/3dPIaSnTe5zDymPiP0wbJiiBaX2fghQgOxprTPKo91w.png,2,751,541,541,800,moreThanOncePerWeek,0,6,0,0,Unranked,3,600,600,1,0,0,Unranked,15,501
#2Y9JQC8Y0,0231,inviteOnly,,,True,https://api-assets.clashofclans.com/badges/200/O9lhNK3E2MemzQ0lnWxtGEUCNTWIVCk0zrEwOTUA8U4.png,1,201,107,107,0,unknown,0,0,0,0,Unranked,1,0,0,3,0,0,Unranked,12,403
#2980CLR88,PIC attached,inviteOnly,тут я свиня дика а ви поросята,,True,https://api-assets.clashofclans.com/badges/200/DcHcgP14dK0OPmf_G77JtangGL7_5u6oAOWUbbXP8Yw.png,1,70,0,0,5500,moreThanOncePerWeek,0,2,0,5,Unranked,1,0,0,1,0,0,Unranked,6,141
#GJRG0G9J,G.I.T.A.R HIRO,open,,,True,https://api-assets.clashofclans.com/badges/200/1cy0--JF7GgOL5qyPE5j4ArXlrMY3Da7YZeoRrKXRc0.png,1,291,0,0,0,unknown,0,0,0,0,Unranked,2,0,0,1,0,0,Unranked,8,291
#8U2LUG2R,May,open,Let's go to my win.,,True,https://api-assets.clashofclans.com/badges/200/Sj-xRufxYBYkhRO_Rb1pxLxxkdSkoArCOhbAINmMGgg.png,1,232,0,0,400,unknown,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,9,465
#2YVL2U880,LAK,open,,,True,https://api-assets.clashofclans.com/badges/200/vni68C1ejMV3Epo2MBVeuCug6AoR92LRp2d1OIsnEGQ.png,2,2970,3053,3053,0,unknown,0,7,1,7,Unranked,7,0,0,1,1,0,Unranked,40,848
#G09G02QU,fawm Bggg,open,"KLAN baik, sopan,santun,donasi lancar.",Indonesia,True,https://api-assets.clashofclans.com/badges/200/t3iwLM35vjPUpkuHxICjySlPFvFS41Kt_JTQm9lNt7A.png,3,1111,327,327,0,always,0,21,2,11,Unranked,5,0,0,1,0,0,Unranked,12,445
#2LJUYQV0Q,ACE of SPADE,closed,kung d ka pogi bawal ka dito,International,True,https://api-assets.clashofclans.com/badges/200/9wCQyq-zrBuBWoJ1dvkXO2dKa4gZOVcC_Ynti0IUk-c.png,3,14771,13677,13677,1200,oncePerWeek,0,10,1,6,Gold League III,20,1100,1100,12,3,549,Bronze League II,92,1746
#U82Y0C2R,school of rock,open,,International,True,https://api-assets.clashofclans.com/badges/200/ma6fWdXouafAR-3N5J0iHEBSpIsE51B3DnRod1ciqrA.png,1,661,138,138,0,always,0,0,0,0,Unranked,2,0,0,1,0,0,Unranked,17,662
#2YVP9RG,Theifs Uprising,open,NO SWEARING!!!!! Win the loot to be a theif➡️win the trophies to be a thief➡️we will rise to the top➡️650 for elder,,True,https://api-assets.clashofclans.com/badges/200/_cO-YqTrVyLdXlCFFwDE2XXJ4o80mD8LyEsJYDqSsXI.png,1,600,49,49,800,unknown,0,6,0,2,Unranked,2,0,0,1,0,0,Unranked,39,600
#22JLUQ2R2,gou,open,,,True,https://api-assets.clashofclans.com/badges/200/DcHcgP14dK0OPmf_G77JtangGL7_5u6oAOWUbbXP8Yw.png,1,825,997,997,0,unknown,0,0,0,0,Unranked,2,0,0,1,0,0,Unranked,32,825
#VV02800G,EEE BOYS,open,,,True,https://api-assets.clashofclans.com/badges/200/dqICeT7gPbOd0ZGEMm1llkl1dq-aa4LC-R7_gfS3oT8.png,2,4452,3511,3511,0,unknown,0,6,0,8,Unranked,17,0,0,1,0,0,Unranked,21,586
#C2RGRURC,SC.02,open,,,True,https://api-assets.clashofclans.com/badges/200/DcHcgP14dK0OPmf_G77JtangGL7_5u6oAOWUbbXP8Yw.png,1,993,1453,1453,0,always,0,0,0,0,Unranked,2,0,0,1,0,0,Unranked,67,993
#2YY9UJQCQ,Cevapi,inviteOnly,,Afghanistan,True,https://api-assets.clashofclans.com/badges/200/cncSgf85ULZMTP2RoXb3tGoRNa4KItSl8ugziOCuTCA.png,3,4877,6543,6543,0,unknown,0,18,0,9,Silver League I,10,0,0,2,3,0,Unranked,69,975
#290RU2PPQ,187,open,,,True,https://api-assets.clashofclans.com/badges/200/zYnZ_xBbmBEqgedZqsfA7xTES3h2znvsjQ9LDk66TnI.png,1,637,390,390,0,unknown,2,2,0,0,Unranked,2,0,0,1,0,0,Unranked,20,637
#2YP2GY9Q8,"""chorrillo""",open,,,True,https://api-assets.clashofclans.com/badges/200/QG2BIwcDk-XtuXaXSDaz9AdHHzuYLIbrS7n2e7E05aE.png,1,581,210,210,0,unknown,0,0,0,0,Unranked,2,0,0,1,0,0,Unranked,14,582
#2LCYU2PRP,ZEE,inviteOnly,WAR JANGAN NAEK RATEKE YANG BAWAH DULU,,True,https://api-assets.clashofclans.com/badges/200/cQ-Ho3wkwUCC5eYKjHrCzkMq7XxyfTfUQNxOoL3bOVA.png,4,7760,7391,7391,1500,unknown,0,21,0,9,Gold League II,10,0,0,9,2,0,Unranked,89,1552
#22RYU0RYQ,694,open,,,True,https://api-assets.clashofclans.com/badges/200/MOT4omcjeyNPYGoF_vCcpFsYuU2YKjzUHhdCKzkMrMg.png,1,174,0,0,0,unknown,0,1,1,9,Bronze League II,1,0,0,1,0,0,Unranked,11,348
#GUJJCCCC,iblis kecil,inviteOnly,,Indonesia,True,https://api-assets.clashofclans.com/badges/200/sMRm7sU6mXMs02XbmtNMssY9Ix8X9q1z01swHfRaxko.png,5,2313,2590,2590,400,always,0,27,0,0,Unranked,4,400,400,1,0,0,Unranked,73,1157
#2L92CPJ9C,RBSanchez,open,,,True,https://api-assets.clashofclans.com/badges/200/DcHcgP14dK0OPmf_G77JtangGL7_5u6oAOWUbbXP8Yw.png,1,146,0,0,0,unknown,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,10,292
#2889LG9JJ,IBBS,open,,Indonesia,True,https://api-assets.clashofclans.com/badges/200/6LZQj_aebXEsg79LwCNx_KY0r4k0ylBHZHujIWTcba8.png,7,8324,8534,8534,0,always,0,71,1,75,Silver League III,11,0,0,5,3,0,Unranked,91,1542
#R9JYVJ0C,kyi,open,,,True,https://api-assets.clashofclans.com/badges/200/gMC1pH_NGDwaHv33WheGT2XWkTbOz_OJZ6w16REYz2Y.png,3,671,941,941,0,unknown,0,21,0,21,Unranked,1,0,0,1,0,0,Unranked,72,1343
#UQ8YLY2P,AJ 2.FC.CLAN,open,,Indonesia,True,https://api-assets.clashofclans.com/badges/200/BOK4zUGFNKIr4Ml2hq-V43NECSUyDDVlyV7WNVXM888.png,1,616,863,863,200,always,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,50,1233
#CJ2RP8GP,560ENGINE,inviteOnly,,Türkiye,True,https://api-assets.clashofclans.com/badges/200/DcHcgP14dK0OPmf_G77JtangGL7_5u6oAOWUbbXP8Yw.png,1,217,65,65,0,always,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,17,435
#2YPR0L9L8,Buf Burgers,open,if you dont like meat get from round,United States,True,https://api-assets.clashofclans.com/badges/200/j6ZNFVsqOKdIRKWfWhh6Pv36oiCsTK3JcuQHtiMzQ68.png,5,7875,8893,8893,1600,unknown,0,16,0,10,Silver League I,10,0,0,9,2,34,Unranked,89,1575
#8VPUQ0L,gekke bekke,open,┈┈┈┏━┓┏┓┏┓┏━┓┈╭╮ ┈┈┈╰▏┗┛┗┛┗┛▕╯┈╰╯ ┏┓┏┓▏┊╭╮╭╮┊▕┏┓┏┓ ┃┗┛┣▏┊┳╭╮┳┊▕┫┗┛┃ ┃╭╮┃▏┊┣━━┫┊▕┃╭╮┃ ┃┗┛┃▏,,True,https://api-assets.clashofclans.com/badges/200/ptl06rgEmq2Vti279PzRMMp5isnvpSPo43I8ScdQ2bE.png,1,903,209,209,0,unknown,0,0,0,0,Unranked,5,0,0,1,0,0,Unranked,15,361
#Y0C9UYRR,.:l SENATOR l:.,closed,درحال عضوگیری,Iran,True,https://api-assets.clashofclans.com/badges/200/4oMuONUbCb3M4P0YaSl0aMdDxlock4i7w1KeSQzxeoQ.png,15,4818,4011,4011,1000,always,2,291,12,105,Master League I,3,200,200,12,7,4,Unranked,174,3212
#2QRG92PLQ,S.C.W,closed,,,True,https://api-assets.clashofclans.com/badges/200/XSEMkeQGqZWwdlAUwvwy-PBvWPgxI-EZ2ZAwZy8M01g.png,1,1394,2025,2025,0,unknown,0,0,0,0,Unranked,2,0,0,1,0,0,Unranked,97,1394
#UJ28Q9LR,TAKANG F.C,open,masuk jadi co /wakil pemimpin,Indonesia,True,https://api-assets.clashofclans.com/badges/200/bWZX8khO32xan_EX1VehEN1EiAY99uiGIZiABCfeKO4.png,1,565,441,441,0,always,0,0,0,0,Unranked,3,0,0,1,0,0,Unranked,12,377
#209Y2QLG0,selcan ve esat,open,Klan   SCORBIYON BABANIZINDIR  GEL YOL ****ELMIYENE  YARGAGIM  vaa,,True,https://api-assets.clashofclans.com/badges/200/Vg_mR3nIwXr-19IyfrEET1628px_d61otNWPkJX02ug.png,2,630,71,71,0,unknown,0,4,1,5,Unranked,2,0,0,1,0,0,Unranked,21,630
#2YRU0U929,Mir egal,open,freundlich und aktiv sein 🙃,Germany,True,https://api-assets.clashofclans.com/badges/200/9oBh9Lh-rCLSgpLAGJtCmar9WF5HrbfD3GL-cYt9204.png,1,3886,5270,5270,400,unknown,0,1,0,2,Silver League II,8,600,600,5,0,0,Unranked,56,972
#9YGJ9GGU,UTE,open,,Uruguay,True,https://api-assets.clashofclans.com/badges/200/pGgR368u5AUSSHwwT4pj3-YKB7jbdGc62nDphU6bn3A.png,1,171,0,0,200,unknown,0,1,0,0,Unranked,1,0,0,1,0,0,Unranked,11,343
#2UG9VV2G,hicool,open,ihr seid alle cool und bekommt immer truppen,,True,https://api-assets.clashofclans.com/badges/200/pLeMRrgUDyZXDkBTctUnjin2QnZuXWN2qBWQn1uWN_o.png,1,415,667,667,0,unknown,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,30,831
#20JJQ92RY,P KTIGER. kings,open,,,True,https://api-assets.clashofclans.com/badges/200/FSkNopwytXBo39esgGBqdkVPW7gknlfp6zynTX2yc_E.png,1,302,61,61,0,unknown,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,18,605
#22QGU8GJL,masaji okom,open,,American Samoa,True,https://api-assets.clashofclans.com/badges/200/DcHcgP14dK0OPmf_G77JtangGL7_5u6oAOWUbbXP8Yw.png,1,1127,829,829,0,always,0,0,0,0,Unranked,3,0,0,1,0,0,Unranked,39,751
#2YYUCJV9L,tvnukykvtngvbjb,open,gnujvfnhvgkbutyhughjgyjvhgvhbjbvyjfgh. vyjggh. mvhbmhmb kguh gvjv you yg ugvnjjjghbvvbhjhhbnkknbhuhbunk?bnhjhg. jbgyjvbhg hvvjgy,,True,https://api-assets.clashofclans.com/badges/200/BIZ4D9ihzimhDQ4y8GKb0VbXvJKDiLVIJ_MyIQxDVLA.png,1,232,25,25,0,unknown,0,0,0,0,Unranked,1,0,0,5,0,0,Unranked,23,465
#UQG299VG,Ozymandia,open,"Welcome to Ozymandia.                            b 27FEB2018.   war plan always same unless changed via clanmail stay active, loyalty rewarded with promotion: Donate, follow war plan. english only",International,True,https://api-assets.clashofclans.com/badges/200/Fi3A42JerKSYpFdiYV-JBGxQw5A2o4vsT5fidTREyhg.png,11,7368,7828,7828,0,always,0,223,1,195,Silver League I,30,0,0,3,1,0,Unranked,33,570
#VCGVGUYU,A-Z,open,,Thailand,True,https://api-assets.clashofclans.com/badges/200/DcHcgP14dK0OPmf_G77JtangGL7_5u6oAOWUbbXP8Yw.png,1,957,232,232,0,unknown,0,0,0,0,Unranked,6,0,0,1,0,0,Unranked,10,319
#L8URQL8L,nunna,open,,,True,https://api-assets.clashofclans.com/badges/200/DcHcgP14dK0OPmf_G77JtangGL7_5u6oAOWUbbXP8Yw.png,1,567,710,710,0,unknown,0,0,0,0,Unranked,0,0,0,1,0,0,Unranked,0,0
#28CCQVR28,box,open,بیایید کلن تا کولیدر بشوید و بعد از هر وار احتمال تنزل یا ارتقا رتبه وجود دارد اگر کسی هم کلن رو می *** فروشی است,International,True,https://api-assets.clashofclans.com/badges/200/ask1DC3uMGzAhJEatNaOyRJXbnkJ0RSCNr72WOMAeow.png,2,833,438,438,0,always,0,8,0,11,Unranked,3,0,0,1,0,0,Unranked,16,555
#2QC82G2J0,OTZ4L,open,OTZ4L THOSE MY DOGS,Canada,True,https://api-assets.clashofclans.com/badges/200/zMv7UHfx74_S-eAVPmBlKTm1V7B-P_2B-DIAa6YJcAE.png,1,1346,1363,1363,0,unknown,0,1,0,7,Unranked,3,0,0,1,0,0,Unranked,71,898
#20LC9RYJQ,anwaruttauhid,open,haha,Indonesia,True,https://api-assets.clashofclans.com/badges/200/DcHcgP14dK0OPmf_G77JtangGL7_5u6oAOWUbbXP8Yw.png,1,1060,1391,1391,0,unknown,0,0,0,0,Unranked,2,0,0,1,0,0,Unranked,66,1061
#2YJPV9JP0,24434,open,,Indonesia,True,https://api-assets.clashofclans.com/badges/200/Iyoy2CC8dBdm4Tqw5znMQksn0MAfd1sNXc65Gc8Vn18.png,1,305,354,354,0,unknown,0,0,0,0,Unranked,1,0,0,13,0,0,Unranked,30,611
#29G2ULUCR,KFZ 81,inviteOnly,,,True,https://api-assets.clashofclans.com/badges/200/pYEHInyR1O20qjsUgPFyMgkB9aGDxAYvy7RtzVfuXyo.png,1,838,336,336,0,unknown,0,0,0,0,Unranked,3,0,0,1,0,0,Unranked,27,559
#2PP8UYJLJ,T.H.H❤,inviteOnly,đánh là thắng đéo có thua ok😏😏,Vietnam,True,https://api-assets.clashofclans.com/badges/200/aIqH8JUUM0lDBRDcnw0wHe1YqOLvaFWVXPhlo7Q6R_Y.png,1,180,0,0,0,always,0,3,0,0,Unranked,2,0,0,1,0,0,Unranked,7,180
#UGUJPCUL,ROBERTO 024,open,,,True,https://api-assets.clashofclans.com/badges/200/aIqH8JUUM0lDBRDcnw0wHe1YqOLvaFWVXPhlo7Q6R_Y.png,1,196,114,114,0,unknown,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,10,393
#Y8YQ280U,H.squad,open,,United States,True,https://api-assets.clashofclans.com/badges/200/DcHcgP14dK0OPmf_G77JtangGL7_5u6oAOWUbbXP8Yw.png,1,485,191,191,0,lessThanOncePerWeek,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,35,970
#G8PC2QJQ,6.3 TheMASTER,open,,Greenland,True,https://api-assets.clashofclans.com/badges/200/JOnEdb8kMGHdd6Rv2FVNSCSMM3CCxdzXuJw8rZid4ZE.png,2,696,77,77,200,always,0,7,0,0,Unranked,3,0,0,1,0,0,Unranked,12,464
#2G82LV9VG,pir,inviteOnly,,,True,https://api-assets.clashofclans.com/badges/200/WYHZ-UlMOmX4nkVPaEV4WcmQu3hbC7fPCxmBqKwqmb8.png,1,10,0,0,0,unknown,0,0,0,1,Unranked,1,0,0,1,0,0,Unranked,2,20
#2P9LYCV2J,7STAR,open,БЕГУНКИ ЛЕСОМ. ПОМОГИТЕ РАЗВИТЬ КЛАН.,,True,https://api-assets.clashofclans.com/badges/200/wNHxjgd-T-jglc1UXoZz7IAcpOY5JsTlMJf9B9Q-2ZE.png,1,672,190,190,200,unknown,0,1,0,1,Unranked,2,0,0,1,0,0,Unranked,30,672
#2YRQ8G90G,nhi,open,,,True,https://api-assets.clashofclans.com/badges/200/DcHcgP14dK0OPmf_G77JtangGL7_5u6oAOWUbbXP8Yw.png,1,681,925,925,400,unknown,0,0,0,0,Unranked,1,1100,1100,2,0,0,Unranked,100,1362
#2L9JUL808,BDE,open,,,True,https://api-assets.clashofclans.com/badges/200/WIZej69RWizg_GJA-kSiJU5stuADpS6K02HzeMNpLtM.png,1,1193,1030,1030,0,unknown,0,1,0,1,Unranked,3,0,0,1,0,0,Unranked,36,795
#2220CG289,VA & VIB supers,open,,,True,https://api-assets.clashofclans.com/badges/200/Bk3JQ_T4qOAZkqLh9jgEZeYQiGJKKD8FWns-tYe7FRI.png,1,425,945,945,200,unknown,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,43,851
#2GLPVQU2C,lv.,inviteOnly,"nākat, aktīvs klans katru dienu reizi CW kad ir iespēja, Ātri augam.",Latvia,True,https://api-assets.clashofclans.com/badges/200/b8EZFI7K6rslwVS2R3ognfOOog2NhTGtXQ7uo_Jcxp8.png,3,4451,4373,4373,400,unknown,0,11,1,4,Silver League I,11,0,0,5,3,5,Unranked,48,820
#9J92QYGC,BewareZombies,inviteOnly,"Hey there Zombies. The humans are against us, help us exterminate them by donating and fighting them. All positions are earned! :D No specfic levels or anything to join. Anyone is welcome!!",International,True,https://api-assets.clashofclans.com/badges/200/9Y9quRViUjMJ2IxwM5p3wgTFMWfuBBSQrNc0ZMq6kQ4.png,3,860,1292,1292,1200,oncePerWeek,0,30,5,57,Unranked,1,0,0,1,0,0,Unranked,89,1721
#8V9PQV20,ZAR Elite,inviteOnly,"Welcome to our clan. Be friendly, loyal and respectful to others in the clan. Elders and Co's chosen on merit! Harsh or offensive language will not be tolerated! Enjoy the game!",South Africa,True,https://api-assets.clashofclans.com/badges/200/j_SH8Cf7GWfDWeefPInG6884p8nt1NrMyMct9tepstg.png,20,28310,31626,31626,2000,moreThanOncePerWeek,0,261,0,0,Crystal League I,35,2000,2000,10,9,1494,Gold League III,160,2502
